# ShelfStack reference display locations (hierarchical)
short_name	name	parent_short_name	sort_order
Store Floor	Store Floor		0
Front Table	Front Table	Store Floor	10
Front Window	Front Window	Store Floor	15
New Releases	New Releases	Store Floor	20
Fiction Wall	Fiction	Store Floor	30
Nonfiction Wall	Nonfiction	Store Floor	40
Children's Area	Children's	Store Floor	50
Young Adult	Young Adult	Store Floor	60
Bargain Books	Bargain	Store Floor	70
Religion Section	Religion	Store Floor	80
History Section	History	Store Floor	90
Biography Wall	Biography	Store Floor	100
Science Section	Science	Store Floor	110
Arts Section	Arts Section	Store Floor	120
Cooking Section	Cooking	Store Floor	130
Travel Section	Travel	Store Floor	140
Reference	Reference	Store Floor	150
Local Authors	Local Authors	Fiction Wall	35
Signed Editions	Signed Editions	Fiction Wall	45
Staff Picks	Staff Picks	Front Table	15
Media Wall	Media Wall		20
Music	Music	Media Wall	10
Video	Video	Media Wall	20
Games Wall	Games	Media Wall	30
Newsstand	Newsstand		30
Magazines	Magazines	Newsstand	10
Newspapers	Newspapers	Newsstand	20
Gift Area	Gift Area		40
Stationery	Stationery	Gift Area	10
Cards	Cards & Wrap	Gift Area	20
Cafe Counter	Cafe Counter		50
Cafe Shelves	Cafe Shelves	Cafe Counter	10
Register	Register		60
Back Stock	Back Stock		70
