node_key,name,parent_node_key
alternative,Alternative,
alternative_art_punk,Art Punk,alternative
alternative_alternative_rock,Alternative Rock,alternative
alternative_britpunk,Britpunk,alternative
alternative_college_rock,College Rock,alternative
alternative_crossover_thrash,Crossover Thrash,alternative
alternative_crust_punk_thx_haug,Crust Punk (thx Haug),alternative
alternative_emotional_hardcore_emo_emocore,Emotional Hardcore (emo / emocore),alternative
alternative_experimental_rock,Experimental Rock,alternative
alternative_folk_punk,Folk Punk,alternative
alternative_goth_gothic_rock,Goth / Gothic Rock,alternative
alternative_grunge,Grunge,alternative
alternative_hardcore_punk,Hardcore Punk,alternative
alternative_hard_rock,Hard Rock,alternative
alternative_indie_rock,Indie Rock,alternative
alternative_lofi,Lo-fi,alternative
alternative_musique_concrte,Musique Concrète,alternative
alternative_new_wave,New Wave,alternative
alternative_progressive_rock,Progressive Rock,alternative
alternative_punk,Punk,alternative
alternative_shoegaze,Shoegaze,alternative
alternative_steampunk,Steampunk,alternative
anime,Anime,
blues,Blues,
blues_acoustic_blues,Acoustic Blues,blues
blues_african_blues,African Blues,blues
blues_blues_rock,Blues Rock,blues
blues_blues_shouter,Blues Shouter,blues
blues_british_blues,British Blues,blues
blues_canadian_blues,Canadian Blues,blues
blues_chicago_blues,Chicago Blues,blues
blues_classic_blues,Classic Blues,blues
blues_classic_female_blues,Classic Female Blues,blues
blues_contemporary_blues,Contemporary Blues,blues
blues_contemporary_r_b,Contemporary R&B,blues
blues_country_blues,Country Blues,blues
blues_dark_blues,Dark Blues,blues
blues_delta_blues,Delta Blues,blues
blues_detroit_blues,Detroit Blues,blues
blues_doom_blues,Doom Blues,blues
blues_electric_blues,Electric Blues,blues
blues_folk_blues,Folk Blues,blues
blues_gospel_blues,Gospel Blues,blues
blues_harmonica_blues,Harmonica Blues,blues
blues_hill_country_blues,Hill Country Blues,blues
blues_hokum_blues,Hokum Blues,blues
blues_jazz_blues,Jazz Blues,blues
blues_jump_blues,Jump Blues,blues
blues_kansas_city_blues,Kansas City Blues,blues
blues_louisiana_blues,Louisiana Blues,blues
blues_memphis_blues,Memphis Blues,blues
blues_modern_blues,Modern Blues,blues
blues_new_orlean_blues,New Orlean Blues,blues
blues_ny_blues,NY Blues,blues
blues_piano_blues,Piano Blues,blues
blues_piedmont_blues,Piedmont Blues,blues
blues_punk_blues,Punk Blues,blues
blues_ragtime_blues,Ragtime Blues,blues
blues_rhythm_blues,Rhythm Blues,blues
blues_soul_blues,Soul Blues,blues
blues_st_louis_blues,St. Louis Blues,blues
blues_swamp_blues,Swamp Blues,blues
blues_texas_blues,Texas Blues,blues
blues_urban_blues,Urban Blues,blues
blues_vandeville,Vandeville,blues
blues_west_coast_blues,West Coast Blues,blues
blues_zydeco_also_under_world_genre,Zydeco (also under ‘World’ genre),blues
childrens_music,Children’s Music,
childrens_music_lullabies,Lullabies,childrens_music
childrens_music_singalong,Sing-Along,childrens_music
childrens_music_stories,Stories,childrens_music
classical,Classical,
classical_avantgarde,Avant-Garde,classical
classical_ballet,Ballet,classical
classical_baroque,Baroque,classical
