department_number,node_key,name,parent_node_key,sort_order,default_sub_department_key,default_display_location_short_name
001,books,Books,,1000000,general_trade,salesfloor
001,bus_com_sci_tech,"Business, Computers, Science & Technology",books,1010000,general_trade,books
001,business,Business & Finance,bus_com_sci_tech,1010100,general_trade,books
001,computer,Computers,bus_com_sci_tech,1010200,general_trade,books
001,sci_nat,Science & Nature,bus_com_sci_tech,1010300,general_trade,books
001,technlgy,Technology,bus_com_sci_tech,1010400,general_trade,books
001,trnsport,Transportation & Automobiles,bus_com_sci_tech,1010500,general_trade,books
001,child_fam,Children & Family,books,1020000,general_trade,books
001,fam_chld,Family & Childcare,books,1020101,general_trade,books
001,jv,Children's Books,child_fam,1020200,juvyoung_adult,books
001,jv_pb,Children's Books / Picture Books,jv,1020201,juvyoung_adult,childrens
001,jv_0-3,Children's Books / Baby-Preschool,jv,1020202,juvyoung_adult,childrens
001,jv_9-12,Children's Books / Ages 9-12,jv,1020203,juvyoung_adult,childrens
001,jv_4-8,Children's Books / Ages 4-8,jv,1020204,juvyoung_adult,childrens
001,jv_all,Children's Books / All Ages,jv,1020205,juvyoung_adult,childrens
001,jv_nf,Children's Books / Nonfiction,jv,1020206,juvyoung_adult,childrens
001,jv_ya,Young Adult,child_fam,1020300,juvyoung_adult,books
001,jv_yan,Young Adult Nonfiction,jv_ya,1020301,juvyoung_adult,young_adult
001,jv_yaf,Young Adult Fiction,jv_ya,1020302,juvyoung_adult,young_adult
001,fict_genre,Fiction Genres,books,1030000,juvyoung_adult,young_adult
001,fiction,Fiction,fict_genre,1030100,general_trade,books
001,literatr,Literature/Classics/Criticism,fict_genre,1030200,general_trade,books
001,mystery,Mystery,fict_genre,1030300,general_trade,books
001,romance,Romance,fict_genre,1030400,general_trade,books
001,sf_fant,Science Fiction & Fantasy,fict_genre,1030500,general_trade,books
001,western,Westerns,fict_genre,1030600,general_trade,books
001,ant_coll,Anthologies & Collections,fict_genre,1030700,general_trade,books
001,hist_soc_sci,History & Social Sciences,books,1040000,general_trade,books
001,arch_ant,Archaeology & Anthropology,hist_soc_sci,1040100,general_trade,books
001,biogrphy,Biography & Autobiography,hist_soc_sci,1040200,general_trade,books
001,cur_evnt,Politics & Current Events,hist_soc_sci,1040300,general_trade,books
001,hist,History / General,hist_soc_sci,1040400,general_trade,books
001,hist_wrl,History / World History,hist,1040401,general_trade,books
001,hist_us,History / U.S.,hist,1040402,general_trade,books
001,hist_mil,History / Military,hist,1040403,general_trade,books
001,pop_cult,Pop Arts/Popular Culture,hist_soc_sci,1040500,general_trade,books
001,sociolgy,Sociology,hist_soc_sci,1040600,general_trade,books
001,true_crm,True Crime/Espionage,hist_soc_sci,1040700,general_trade,books
001,leisure,Leisure,books,1050000,general_trade,books
001,archtctr,Architecture,leisure,1050100,general_trade,books
001,art,Art & Art Instruction,leisure,1050200,general_trade,books
001,ckbk_ent,"Cooking, Entertaining & Wine",leisure,1050300,general_trade,books
001,crft_hob,Crafts & Hobbies,leisure,1050400,general_trade,books
001,games,"Games, Gamebooks & Puzzles",leisure,1050500,general_trade,books
001,gardens,Gardening,leisure,1050600,general_trade,books
001,hse_home,House & Home,leisure,1050700,general_trade,books
001,humor,Humor & Cartoons,leisure,1050800,general_trade,books
001,photgrph,Photography,leisure,1050900,general_trade,books
001,sports,Sports & Recreation,leisure,1051000,general_trade,books
001,trv,Travel / General,leisure,1051100,general_trade,books
001,trv_dom,Travel / Domestic,trv,1051101,general_trade,books
001,trv_intl,Travel / International,trv,1051102,general_trade,books
001,lifestyle,Life Styles,books,1060000,general_trade,books
001,hlth_body,Personal Health,lifestyle,1060100,general_trade,books
001,hlth_fit,Health & Fitness,hlth_body,1060101,general_trade,books
001,diseases,Diseases,hlth_body,1060102,general_trade,books
001,diet_nut,Diet & Nutrition,hlth_body,1060103,general_trade,books
001,selfhelp,Self-Help,lifestyle,1060200,general_trade,books
001,add_recv,Addition & Recovery,selfhelp,1060201,general_trade,books
001,relation,Relationships,selfhelp,1060202,general_trade,books
001,sex,Sexuality,selfhelp,1060203,general_trade,books
001,mbs,"Mind, Body & Spirit",books,1070000,general_trade,books
001,new_age,New Age/Parapsychology,mbs,1070100,general_trade,books
001,philsphy,Philosophy,mbs,1070200,general_trade,books
001,psych,Psychology,mbs,1070300,general_trade,books
001,rel,Religion / General,mbs,1070400,general_trade,books
001,rel_bibl,Religion / Bibles,rel,1070401,general_trade,books
001,rel_chr,Religion / Christianity,rel,1070402,general_trade,books
001,rel_fict,Religion / Religious Fiction,rel,1070403,general_trade,books
001,rel_insp,Religion / Inspiration,rel,1070404,general_trade,books
001,rel_isl,Religion / Islam,rel,1070405,general_trade,books
001,rel_jud,Religion / Judaism,rel,1070406,general_trade,books
001,rel_theo,Religion / Theology,rel,1070407,general_trade,books
001,rel_wrld,Religion / World Religions,rel,1070408,general_trade,books
001,poet_perf_art,Poetry & the Performing Arts,books,1080000,general_trade,books
001,drama,Drama & Theatre,poet_perf_art,1080100,general_trade,books
001,film_tv,"Film, Television & Radio",poet_perf_art,1080200,general_trade,books
001,music_pa,Music & the Performing Arts,poet_perf_art,1080300,general_trade,books
001,poetry,Poetry,poet_perf_art,1080400,general_trade,books
001,ref_lang,Reference and Languages,books,1090000,general_trade,books
001,edu_tch,Education & Teaching,ref_lang,1090100,general_trade,books
001,stdy_gde,Study Guides & Book Notes,edu_tch,1090101,general_trade,books
001,for_lang,Foreign Language Study,ref_lang,1090200,general_trade,books
001,language,"Language Arts, Linguistics & Literacy",ref_lang,1090300,general_trade,books
001,law,Law & Legal Affairs,ref_lang,1090400,general_trade,books
001,referenc,Reference,ref_lang,1090500,general_trade,books
002,media,Media,ref_lang,2000000,rec_music,media
