node_key,name,parent_node_key
vg_act,Action,
vg_actadv,Action & Adventure,
vg_actadv_expl,Exploration Adventure,vg_actadv
vg_actadv_metro,Metroidvania,vg_actadv
vg_actadv_open,Open World Adventure,vg_actadv
vg_actadv_survh,Survival Horror,vg_actadv
vg_act_arcade,Arcade Action,vg_act
vg_act_beat,Beat 'em Up,vg_act
vg_act_brawler,Brawler,vg_act
vg_act_hack,Hack and Slash,vg_act
vg_act_lgun,Light Gun,vg_act
vg_act_stlth,Stealth,vg_act
vg_act_surv,Survival,vg_act
vg_act_vehcom,Vehicular Combat,vg_act
vg_adv,Adventure,
vg_adv_myst,Detective & Mystery,vg_adv
vg_adv_walk,Exploration Narrative,vg_adv
vg_adv_graph,Graphic Adventure,vg_adv
vg_adv_if,Interactive Fiction,vg_adv
vg_adv_narr,Narrative Adventure,vg_adv
vg_adv_point,Point-and-Click,vg_adv
vg_edu,Educational & Training,
vg_edu_brain,Brain Training,vg_edu
vg_edu_child,Children's Educational,vg_edu
vg_edu_health,Health & Fitness,vg_edu
vg_edu_lang,Language Learning,vg_edu
vg_edu_train,Training Simulation,vg_edu
vg_fight,Fighting,
vg_fight_2d,2D Fighting,vg_fight
vg_fight_3d,3D Fighting,vg_fight
vg_fight_arena,Arena Fighting,vg_fight
vg_fight_plat,Platform Fighter,vg_fight
vg_mmo,MMO & Online Worlds,
vg_mmo_shoot,MMO Shooter,vg_mmo
vg_mmo_mmorpg,MMORPG,vg_mmo
vg_mmo_persist,Persistent World,vg_mmo
vg_mmo_sandbox,Sandbox MMO,vg_mmo
vg_mmo_social,Social MMO,vg_mmo
vg_party,Party & Social,
vg_party_gshow,Game Show,vg_party
vg_party_local,Local Multiplayer Party,vg_party
vg_party_mini,Minigame Collection,vg_party
vg_party_game,Party Game,vg_party
vg_party_quiz,Trivia & Quiz,vg_party
vg_plat,Platformer,
vg_plat_2d,2D Platformer,vg_plat
vg_plat_3d,3D Platformer,vg_plat
vg_plat_prec,Precision Platformer,vg_plat
vg_plat_puzz,Puzzle Platformer,vg_plat
vg_plat_run,Runner,vg_plat
vg_puzz,Puzzle,
vg_puzz_escape,Escape Room,vg_puzz
vg_puzz_hidden,Hidden Object,vg_puzz
vg_puzz_logic,Logic Puzzle,vg_puzz
vg_puzz_match,Match-3,vg_puzz
vg_puzz_maze,Maze,vg_puzz
vg_puzz_phys,Physics Puzzle,vg_puzz
vg_puzz_tile,Tile-Matching,vg_puzz
vg_puzz_word,Word Puzzle,vg_puzz
vg_race,Racing & Driving,
vg_race_arcade,Arcade Racing,vg_race
vg_race_drive,Driving Simulation,vg_race
vg_race_kart,Kart Racing,vg_race
vg_race_offroad,Off-Road Racing,vg_race
vg_race_sim,Racing Simulation,vg_race
vg_rhy,Rhythm & Music,
vg_rhy_dance,Dance Game,vg_rhy
vg_rhy_instr,Instrument Performance,vg_rhy
vg_rhy_rhythm,Rhythm Game,vg_rhy
vg_rhy_karaoke,Singing & Karaoke,vg_rhy
vg_rpg,Role-Playing Game / RPG,
vg_rpg_action,Action RPG,vg_rpg
