node_key,name,parent_node_key
action_adventure,Action & Adventure,
action_adventure_action,Action,action_adventure
action_adventure_adventure,Adventure,action_adventure
action_adventure_disaster,Disaster,action_adventure
action_adventure_martial_arts,Martial Arts,action_adventure
action_adventure_superhero,Superhero,action_adventure
action_adventure_survival,Survival,action_adventure
animation,Animation,
animation_animated_feature,Animated Feature,animation
animation_animated_short,Animated Short,animation
animation_computer_animation,Computer Animation,animation
animation_stopmotion_animation,Stop-Motion Animation,animation
animation_traditional_animation,Traditional Animation,animation
anime,Anime,
anime_action_anime,Action Anime,anime
anime_adventure_anime,Adventure Anime,anime
anime_comedy_anime,Comedy Anime,anime
anime_fantasy_anime,Fantasy Anime,anime
anime_horror_anime,Horror Anime,anime
anime_mecha_anime,Mecha Anime,anime
anime_romance_anime,Romance Anime,anime
anime_science_fiction_anime,Science Fiction Anime,anime
anime_slice_of_life_anime,Slice of Life Anime,anime
children_family,Children & Family,
children_family_childrens,Children's,children_family
children_family_family,Family,children_family
children_family_preschool,Preschool,children_family
children_family_childrens_educational,Children's Educational,children_family
children_family_family_adventure,Family Adventure,children_family
children_family_family_comedy,Family Comedy,children_family
children_family_holiday_family,Holiday Family,children_family
comedy,Comedy,
comedy_black_comedy,Black Comedy,comedy
comedy_comedy_drama,Comedy Drama,comedy
comedy_dark_comedy,Dark Comedy,comedy
comedy_parody,Parody,comedy
comedy_romantic_comedy,Romantic Comedy,comedy
comedy_satire,Satire,comedy
comedy_sketch_comedy,Sketch Comedy,comedy
comedy_slapstick,Slapstick,comedy
comedy_standup_comedy,Stand-Up Comedy,comedy
comedy_screwball_comedy,Screwball Comedy,comedy
crime_mystery,Crime & Mystery,
crime_mystery_crime,Crime,crime_mystery
crime_mystery_detective,Detective,crime_mystery
crime_mystery_gangster,Gangster,crime_mystery
crime_mystery_heist,Heist,crime_mystery
crime_mystery_legal_drama,Legal Drama,crime_mystery
crime_mystery_mystery,Mystery,crime_mystery
crime_mystery_police_procedural,Police Procedural,crime_mystery
crime_mystery_true_crime,True Crime,crime_mystery
documentary,Documentary,
documentary_arts_documentary,Arts Documentary,documentary
documentary_biographical_documentary,Biographical Documentary,documentary
documentary_crime_documentary,Crime Documentary,documentary
documentary_historical_documentary,Historical Documentary,documentary
documentary_music_documentary,Music Documentary,documentary
documentary_nature_documentary,Nature Documentary,documentary
documentary_political_documentary,Political Documentary,documentary
documentary_science_documentary,Science Documentary,documentary
